post_id,text,topic,sentiment
118,This is a negative opinion about BrandB,ProductX,positive
119,This is a positive opinion about ProductX,ServiceY,negative
120,This is a negative opinion about ServiceY,BrandA,neutral
121,This is a positive opinion about ProductX,ProductX,neutral
122,This is a neutral opinion about BrandB,ProductX,neutral
123,This is a positive opinion about BrandB,BrandA,neutral
124,This is a negative opinion about ProductX,BrandB,positive
125,This is a negative opinion about ProductX,ProductX,negative
126,This is a neutral opinion about BrandB,ServiceY,neutral
127,This is a negative opinion about BrandB,ServiceY,positive
128,This is a positive opinion about ProductX,BrandB,positive
129,This is a positive opinion about ServiceY,BrandB,positive
130,This is a neutral opinion about ProductX,ProductX,neutral
131,This is a neutral opinion about BrandB,BrandA,positive
132,This is a positive opinion about BrandA,ServiceY,negative
133,This is a neutral opinion about ProductX,BrandA,negative
134,This is a negative opinion about BrandB,ServiceY,neutral
135,This is a negative opinion about BrandA,BrandA,neutral
136,This is a negative opinion about BrandB,BrandB,neutral
137,This is a neutral opinion about BrandA,ProductX,neutral
138,This is a neutral opinion about BrandB,BrandA,neutral
139,This is a positive opinion about BrandB,BrandB,negative
140,This is a negative opinion about ProductX,ServiceY,positive
141,This is a positive opinion about BrandB,ProductX,positive
142,This is a positive opinion about ProductX,BrandA,negative
143,This is a negative opinion about ProductX,BrandB,negative
144,This is a neutral opinion about ServiceY,ProductX,neutral
145,This is a negative opinion about ProductX,BrandB,negative
146,This is a neutral opinion about BrandA,BrandA,negative
147,This is a neutral opinion about BrandA,BrandB,neutral
148,This is a positive opinion about BrandB,BrandA,negative
149,This is a negative opinion about ProductX,BrandB,neutral
150,This is a positive opinion about BrandA,BrandA,negative
151,This is a neutral opinion about BrandA,ServiceY,neutral
152,This is a neutral opinion about BrandB,ServiceY,negative
153,This is a neutral opinion about ServiceY,ProductX,neutral
154,This is a neutral opinion about BrandB,BrandB,neutral
155,This is a neutral opinion about ProductX,BrandB,neutral
156,This is a negative opinion about BrandA,ProductX,positive
157,This is a neutral opinion about BrandA,ServiceY,positive
158,This is a negative opinion about ServiceY,BrandB,positive
159,This is a negative opinion about BrandB,ServiceY,neutral
160,This is a negative opinion about ServiceY,BrandB,negative
161,This is a neutral opinion about ProductX,ServiceY,neutral
162,This is a negative opinion about BrandA,BrandA,negative
163,This is a neutral opinion about ProductX,BrandB,neutral
164,This is a neutral opinion about BrandA,ProductX,negative
165,This is a neutral opinion about BrandB,ProductX,negative
166,This is a negative opinion about BrandA,BrandB,neutral
167,This is a neutral opinion about BrandB,BrandA,positive
168,This is a positive opinion about BrandB,ServiceY,negative
169,This is a negative opinion about BrandA,ProductX,positive
170,This is a negative opinion about ServiceY,ProductX,neutral
171,This is a neutral opinion about BrandB,BrandB,negative
172,This is a neutral opinion about ProductX,ProductX,positive
173,This is a neutral opinion about ServiceY,ProductX,negative
174,This is a positive opinion about BrandB,BrandB,positive
175,This is a negative opinion about BrandA,ProductX,positive
176,This is a positive opinion about ProductX,ProductX,negative
177,This is a negative opinion about ServiceY,ServiceY,positive
178,This is a positive opinion about ProductX,BrandB,negative
179,This is a positive opinion about BrandB,BrandB,neutral
180,This is a negative opinion about BrandA,BrandB,positive
181,This is a neutral opinion about BrandB,ProductX,neutral
182,This is a positive opinion about BrandB,ProductX,positive
183,This is a neutral opinion about ProductX,ProductX,positive
184,This is a negative opinion about BrandB,BrandA,negative
185,This is a negative opinion about ProductX,BrandA,positive
186,This is a negative opinion about BrandA,BrandA,positive
187,This is a negative opinion about ProductX,BrandA,positive
188,This is a neutral opinion about ProductX,ProductX,positive
189,This is a positive opinion about BrandA,BrandB,negative
190,This is a negative opinion about ServiceY,BrandA,positive
191,This is a positive opinion about BrandA,ServiceY,neutral
192,This is a negative opinion about ServiceY,ServiceY,negative
193,This is a positive opinion about ProductX,ServiceY,positive
194,This is a negative opinion about ServiceY,BrandA,neutral
195,This is a positive opinion about ServiceY,ProductX,negative
196,This is a positive opinion about BrandB,BrandB,positive
197,This is a negative opinion about BrandA,BrandA,neutral
198,This is a negative opinion about ServiceY,ProductX,neutral
199,This is a positive opinion about ProductX,BrandA,negative
200,This is a negative opinion about BrandA,ServiceY,negative
